lec_id,f_id,check,pro_id,random,answer_no.,question,passage,answer,choice1,choice2,choice3,index,index_f,page,check,ex_pro_id,random,answer_no.,question_2,passage_2,answer_2,choice1_2,choice2_2,choice3_2,,,,
1,3D2_01_01,0,,1,1,다음 중 첫 번째 문장에 대한 내용으로 옳은 것을 고르시오.,"The critic who wants to write about literature from a formalist perspective must first be a close and careful reader who examines all the elements of a text individually and questions how they come together to create a work of art. Such a reader, who respects the autonomy of a work, achieves an understanding of it by <u>_______________________________</u>. Instead of examining historical periods, author biographies, or literary styles, for example, he or she will approach a text with the assumption that it is a self-contained entity and that he or she is looking for the governing principles that allow the text to reveal itself. For example, the correspondences between the characters in James Joyce’s short story “Araby” and the people he knew personally may be interesting, but for the formalist they are less relevant to understanding how the story creates meaning than are other kinds of information that the story contains within itself. <br><div style=""float: right;"">*entity: 실체</div>",형식주의 관점에서 문학을 작성하려는 비평가는 텍스트를 깊게 분석하고 이해하려는 자세가 필요하다,형식주의인 비평가는 독자의 입장에서 텍스트의 모든 요소와 예술 작품에 대한 이해를 대변할 수 있어야 한다,,,,,,0,,1,1,다음 중 빈칸이 첫 두 문장에 위치할 경우 문제 풀이 스킬로 옳은 것을 고르시오. ,,첫 두 문장 해석하여 단서 체크 → 이어지는 내용에서 단서 추적하기 → 빈칸에 들어갈 내용 정리 → 선지 분석 후 오답 제거,빈칸에 들어갈 내용 정리 → 첫 두 문장 해석하여 단서 체크 → 이어지는 내용에서 단서 추적하기 → 선지 분석 후 오답 제거,빈칸에서 단서 추적하기 → 빈칸에 들어갈 내용 정리 → 첫 두 문장 해석하여 단서 체크 → 선지 분석 후 오답 제거,첫 두 문장 해석하여 단서 체크 → 빈칸에 들어갈 내용 정리 → 이어지는 내용에서 단서 추적하기 → 선지 분석 후 오답 제거,,,,
1,3D2_01_01,0,,1,1,다음 중 두 번째 문장에 대한 내용으로 옳은 것을 고르시오.,"The critic who wants to write about literature from a formalist perspective must first be a close and careful reader who examines all the elements of a text individually and questions how they come together to create a work of art. Such a reader, who respects the autonomy of a work, achieves an understanding of it by <u>_______________________________</u>. Instead of examining historical periods, author biographies, or literary styles, for example, he or she will approach a text with the assumption that it is a self-contained entity and that he or she is looking for the governing principles that allow the text to reveal itself. For example, the correspondences between the characters in James Joyce’s short story “Araby” and the people he knew personally may be interesting, but for the formalist they are less relevant to understanding how the story creates meaning than are other kinds of information that the story contains within itself. <br><div style=""float: right;"">*entity: 실체</div>",작품의 자율성을 존중하는 독자는 <u>______</u>함으로써 그것을 이해한다,작품을 의존하는 독자는 <u>______</u>함으로써 그것을 이해한다,,,,,,0,,1,1,다음 중 첫 두 문장을 읽은 뒤 확인해야 하는 단서가 <u>아닌</u> 것을 고르시오. ,,대명사,부정어,소재,,,,,
1,3D2_01_01,0,,1,1,다음 중 형식주의적 독자가 작품을 분석할 때의 (A)와 (B)에 대한 의미로 옳은 것을 고르시오.,"The critic who wants to write about literature from a formalist perspective must first be a close and careful reader who examines all the elements of a text individually and questions how they come together to create a work of art. Such a reader, who respects the autonomy of a work, achieves an understanding of it by <u>_______________________________</u>. Instead of (A)<u>examining historical periods, author biographies, or literary styles</u>, for example, he or she will approach a text with the assumption that it is a self-contained entity and that (B)<u>he or she is looking for the governing principles that allow the text to reveal itself</u>. For example, the correspondences between the characters in James Joyce’s short story “Araby” and the people he knew personally may be interesting, but for the formalist they are less relevant to understanding how the story creates meaning than are other kinds of information that the story contains within itself. <br><div style=""float: right;"">*entity: 실체</div>",(A) 작품의 외부 요소나 배경 (B) 작품 자체에 집중,(A) 작품 자체에 집중 (B) 작품의 외부 요소나 배경,,,,,,0,,1,1,다음 중 첫 번째 문장에 대한 내용으로 옳은 것을 고르시오.,"News, especially in its televised form, is constituted not only by its choice of topics and stories but by its <u>_____________________________________</u>. Presentational styles have been subject to a tension between an informational-educational purpose and the need to engage us entertainingly. While current affairs programmes are often ‘serious’ in tone sticking to the ‘rules’ of balance, more popular programmes adopt a friendly, lighter, idiom in which we are invited to consider the impact of particular news items from the perspective of the ‘average person in the street’. Indeed, contemporary news construction has come to rely on an increased use of faster editing tempos and ‘flashier’ presentational styles including the use of logos, sound-bites, rapid visual cuts and the ‘star quality’ of news readers. Popular formats can be said to enhance understanding by engaging an audience unwilling to endure the longer verbal orientation of older news formats. However, they arguably work to reduce understanding by failing to provide the structural contexts for news events.","뉴스는 보도할 내용으로 구성되는 것 뿐만 아니라, <u>______</u>에 의해 구성된다","뉴스는 보도할 내용과 주제로 구성되는 것이 아니며, <u>______</u>에 의해 구성된다",,,,,,
1,3D2_01_01,0,,1,1,다음 중 형광펜으로 표기된 부분과 의미가 같은 것을 고르시오.,"The critic who wants to write about literature from a formalist perspective must first be a close and careful reader who examines all the elements of a text individually and questions how they come together to create a work of art. Such a reader, who respects the autonomy of a work, achieves an understanding of it by <u>_______________________________</u>. Instead of examining historical periods, author biographies, or literary styles, for example, he or she will approach a text with the assumption that it is a self-contained entity and that <mark>he or she is looking for the governing principles that allow the text to reveal itself</mark>. For example, the correspondences between the characters in James Joyce’s short story “Araby” and the people he knew personally may be interesting, but for the formalist they are less relevant to understanding how the story creates meaning than are other kinds of information that the story contains within itself. <br><div style=""float: right;"">*entity: 실체</div>","looking inside it, not outside it or beyond it",putting himself or herself both inside and outside it,finding a middle ground between it and the world,exploring its characters’ cultural relevance,,,,0,,1,1,다음 중 두 번째 문장에 대한 내용으로 옳은 것을 고르시오.,"News, especially in its televised form, is constituted not only by its choice of topics and stories but by its <u>_____________________________________</u>. Presentational styles have been subject to a tension between an informational-educational purpose and the need to engage us entertainingly. While current affairs programmes are often ‘serious’ in tone sticking to the ‘rules’ of balance, more popular programmes adopt a friendly, lighter, idiom in which we are invited to consider the impact of particular news items from the perspective of the ‘average person in the street’. Indeed, contemporary news construction has come to rely on an increased use of faster editing tempos and ‘flashier’ presentational styles including the use of logos, sound-bites, rapid visual cuts and the ‘star quality’ of news readers. Popular formats can be said to enhance understanding by engaging an audience unwilling to endure the longer verbal orientation of older news formats. However, they arguably work to reduce understanding by failing to provide the structural contexts for news events.",뉴스의 표현 방식은 정보 제공과 엔터테인먼트적인 요소 사이에서 긴장 관계를 가지고 있다,뉴스의 표현 방식은 정확한 정보와 교육적 정보를 즐겁게 전달해 주는 것의 목적을 가지고 있다,,,,,,
1,3D2_01_01,0,,0,1,다음 중 형광펜으로 표기된 부분과 의미가 같은 것을 고르시오.,"The critic who wants to write about literature from a formalist perspective must first be a close and careful reader who examines all the elements of a text individually and questions how they come together to create a work of art. Such a reader, who respects the autonomy of a work, achieves an understanding of it by <u>_______________________________</u>. Instead of <mark>examining historical periods, author biographies, or literary styles</mark>, for example, he or she will approach a text with the assumption that it is a self-contained entity and that he or she is looking for the governing principles that allow the text to reveal itself. For example, the correspondences (A)<u>between the characters in James Joyce’s short story “Araby” and the people he knew personally</u> may be interesting, but for the formalist they are less relevant to understanding how the story creates meaning than are (B)<u>other kinds of information that the story contains within itself</u>. <br><div style=""float: right;"">*entity: 실체</div>",(A),(B),,,,,,0,,1,1,다음 중 형광펜으로 표기된 부분을 paraphrasing한 것을 고르시오.,"News, especially in its televised form, is constituted not only by its choice of topics and stories but by its <u>_____________________________________</u>. <mark>Presentational styles</mark> have been subject to a tension between an informational-educational purpose and the need to engage us entertainingly. While current affairs programmes are often ‘serious’ in tone sticking to the ‘rules’ of balance, more popular programmes adopt a friendly, lighter, idiom in which we are invited to consider the impact of particular news items from the perspective of the ‘average person in the street’. Indeed, contemporary news construction has come to rely on an increased use of faster editing tempos and ‘flashier’ presentational styles including the use of logos, sound-bites, rapid visual cuts and the ‘star quality’ of news readers. Popular formats can be said to enhance understanding by engaging an audience unwilling to endure the longer verbal orientation of older news formats. However, they arguably work to reduce understanding by failing to provide the structural contexts for news events.",modes of address ,educational media contents,commitment,coordination,,,,
1,3D2_01_01,0,,0,2,다음 중 형광펜으로 표기된 부분과 의미가 같은 것을 고르시오.,"The critic who wants to write about literature from a formalist perspective must first be a close and careful reader who examines all the elements of a text individually and questions how they come together to create a work of art. Such a reader, who respects the autonomy of a work, achieves an understanding of it by <u>_______________________________</u>. Instead of examining historical periods, author biographies, or literary styles, for example, he or she will approach a text with the assumption that it is a self-contained entity and that <mark>he or she is looking for the governing principles that allow the text to reveal itself</mark>. For example, the correspondences (A)<u>between the characters in James Joyce’s short story “Araby” and the people he knew personally</u> may be interesting, but for the formalist they are less relevant to understanding how the story creates meaning than are (B)<u>other kinds of information that the story contains within itself</u>. <br><div style=""float: right;"">*entity: 실체</div>",(A),(B),,,,,,0,,1,1,다음 중 (A)와 (B)의 Presentational styles에 대한 설명으로 옳은 것을 고르시오.,"News, especially in its televised form, is constituted not only by its choice of topics and stories but by its <u>_____________________________________</u>. Presentational styles have been subject to a tension between an informational-educational purpose and the need to engage us entertainingly. While current (A)<u>affairs programmes</u> are often ‘serious’ in tone sticking to the ‘rules’ of balance, more (B)<u>popular programmes</u> adopt a friendly, lighter, idiom in which we are invited to consider the impact of particular news items from the perspective of the ‘average person in the street’. Indeed, contemporary news construction has come to rely on an increased use of faster editing tempos and ‘flashier’ presentational styles including the use of logos, sound-bites, rapid visual cuts and the ‘star quality’ of news readers. Popular formats can be said to enhance understanding by engaging an audience unwilling to endure the longer verbal orientation of older news formats. However, they arguably work to reduce understanding by failing to provide the structural contexts for news events.",(A) 진지한 톤 (B) 친근한 방식,(A) 가벼운 스타일 (B) 보통 사람의 관점을 고려,(A) 친근한 표현 (B) 균형과 규칙 고수,(A) 평범한 사람의 관점을 고려 (B) 친근하고 가벼운 표현,,,,
1,3D2_01_01,0,,1,1,다음 중 빈칸에 들어갈 말로 가장 적절한 것을 고르시오.,"The critic who wants to write about literature from a formalist perspective must first be a close and careful reader who examines all the elements of a text individually and questions how they come together to create a work of art. Such a reader, who respects the autonomy of a work, achieves an understanding of it by <u>_______________________________</u>. Instead of examining historical periods, author biographies, or literary styles, for example, he or she will approach a text with the assumption that it is a self-contained entity and that he or she is looking for the governing principles that allow the text to reveal itself. For example, the correspondences between the characters in James Joyce’s short story “Araby” and the people he knew personally may be interesting, but for the formalist they are less relevant to understanding how the story creates meaning than are other kinds of information that the story contains within itself. <br><div style=""float: right;"">*entity: 실체</div>","focusing on the internal aspects of the text, not external or beyond",positioning oneself both within and beyond the scope of the work,establishing a balance between the text and the wider world,unearthing the historical truths contained within the text,,,,0,,1,1,다음 중 형광펜으로 표기된 부분에서 Presentational styles에 해당되는 것을 고르시오.,"News, especially in its televised form, is constituted not only by its choice of topics and stories but by its <u>_____________________________________</u>. Presentational styles have been subject to a tension between an informational-educational purpose and the need to engage us entertainingly. <mark>While current affairs programmes are often ‘serious’ in tone sticking to the ‘rules’ of balance, more popular programmes adopt a friendly, lighter, idiom in which we are invited to consider the impact of particular news items from the perspective of the ‘average person in the street’</mark>. Indeed, contemporary news construction has come to rely on an increased use of faster editing tempos and ‘flashier’ presentational styles including the use of logos, sound-bites, rapid visual cuts and the ‘star quality’ of news readers. Popular formats can be said to enhance understanding by engaging an audience unwilling to endure the longer verbal orientation of older news formats. However, they arguably work to reduce understanding by failing to provide the structural contexts for news events.","tone, idiom",average person,"rules, serious",affairs programmes,,,,
1,3D2_01_01,0,,1,1,다음 중 첫 두 문장에 대한 내용으로 옳은 것을 고르시오.,"Enabling animals to <u>__________________________________</u> is an almost universal function of learning. Most animals innately avoid objects they have not previously encountered. Unfamiliar objects may be dangerous; treating them with caution has survival value. If persisted in, however, such careful behavior could interfere with feeding and other necessary activities to the extent that the benefit of caution would be lost. A turtle that withdraws into its shell at every puff of wind or whenever a cloud casts a shadow would never win races, not even with a lazy rabbit. To overcome this problem, almost all animals habituate to safe stimuli that occur frequently. Confronted by a strange object, an inexperienced animal may freeze or attempt to hide, but if nothing unpleasant happens, sooner or later it will continue its activity. The possibility also exists that an unfamiliar object may be useful, so if it poses no immediate threat, a closer inspection may be worthwhile.<br><div style=""float: right;"">*innately: 선천적으로</div>",학습의 주된 기능은 동물들이 <u>______</u> 하도록 하는 것이다,학습의 주된 기능은 동물들이 새로운 대상을 피하지 않게 <u>_______</u>하도록 하는 것이다,,,,,,0,,1,1,다음 중 형광펜으로 표기된 부분에 대한 내용으로 옳은 것을 고르시오.,"News, especially in its televised form, is constituted not only by its choice of topics and stories but by its <u>_____________________________________</u>. Presentational styles have been subject to a tension between an informational-educational purpose and the need to engage us entertainingly. While current affairs programmes are often ‘serious’ in tone sticking to the ‘rules’ of balance, more popular programmes adopt a friendly, lighter, idiom in which we are invited to consider the impact of particular news items from the perspective of the ‘average person in the street’. <mark>Indeed, contemporary news construction has come to rely on an increased use of faster editing tempos and ‘flashier’ presentational styles including the use of logos, sound-bites, rapid visual cuts and the ‘star quality’ of news readers</mark>. Popular formats can be said to enhance understanding by engaging an audience unwilling to endure the longer verbal orientation of older news formats. However, they arguably work to reduce understanding by failing to provide the structural contexts for news events.",현대 뉴스 구성이 흥미롭고 엔터테인먼트적으로 만드는 방향으로 변화 되었다,현대 뉴스 구성이 뉴스 앵커의 스타성에 의존하여 뉴스를 보다 흥미롭게 만드는 방향으로 변화 되었다,,,,,,
1,3D2_01_01,0,,1,1,다음 중 형광펜으로 표기된 부분에 대한 이유를 고르시오.,"Enabling animals to <u>__________________________________</u> is an almost universal function of learning. <mark>Most animals innately avoid objects</mark> they have not previously encountered. Unfamiliar objects may be dangerous; treating them with caution has survival value. If persisted in, however, such careful behavior could interfere with feeding and other necessary activities to the extent that the benefit of caution would be lost. A turtle that withdraws into its shell at every puff of wind or whenever a cloud casts a shadow would never win races, not even with a lazy rabbit. To overcome this problem, almost all animals habituate to safe stimuli that occur frequently. Confronted by a strange object, an inexperienced animal may freeze or attempt to hide, but if nothing unpleasant happens, sooner or later it will continue its activity. The possibility also exists that an unfamiliar object may be useful, so if it poses no immediate threat, a closer inspection may be worthwhile.<br><div style=""float: right;"">*innately: 선천적으로</div>",유해할 수 있기 때문에,무해할 수 있기 때문에,,,,,,0,,1,1,다음 중 형광펜으로 표기된 부분에 해당되는 내용을 고르시오.,"News, especially in its televised form, is constituted not only by its choice of topics and stories but by its <u>_____________________________________</u>. Presentational styles have been subject to a tension between an informational-educational purpose and the need to engage us entertainingly. While current affairs programmes are often ‘serious’ in tone sticking to the ‘rules’ of balance, more popular programmes adopt a friendly, lighter, idiom in which we are invited to consider the impact of particular news items from the perspective of the ‘average person in the street’. Indeed, <mark>contemporary news construction</mark> has come to rely on an increased use of faster editing tempos and ‘flashier’ presentational styles including the use of logos, sound-bites, rapid visual cuts and the ‘star quality’ of news readers. Popular formats can be said to enhance understanding by engaging an audience unwilling to endure the longer verbal orientation of older news formats. However, they arguably work to reduce understanding by failing to provide the structural contexts for news events.",더 현란한 표현 방식을 이용,최신 이슈에 대한 빠른 취재,교육용 매체 내용,스타성 보다 전통적인 표현 방식 선호,,,,
1,3D2_01_01,0,,1,1,다음 중 (A)와 (B)에 대한 필자의 어조를 고르시오.,"Enabling animals to <u>__________________________________</u> is an almost universal function of learning. Most animals innately avoid objects they have not previously encountered. Unfamiliar objects may be dangerous; (A)<u>treating them with caution</u> has survival value. If persisted in, however, such (B)<u>careful behavior</u> could interfere with feeding and other necessary activities to the extent that the benefit of caution would be lost. A turtle that withdraws into its shell at every puff of wind or whenever a cloud casts a shadow would never win races, not even with a lazy rabbit. To overcome this problem, almost all animals habituate to safe stimuli that occur frequently. Confronted by a strange object, an inexperienced animal may freeze or attempt to hide, but if nothing unpleasant happens, sooner or later it will continue its activity. The possibility also exists that an unfamiliar object may be useful, so if it poses no immediate threat, a closer inspection may be worthwhile.<br><div style=""float: right;"">*innately: 선천적으로</div>",(A) + (B) -,(A) + (B) +,(A) - (B) +,(A) - (B) -,,,,0,,1,1,다음 중 Popular formats의 설명으로 옳은 것을 고르시오.,"News, especially in its televised form, is constituted not only by its choice of topics and stories but by its <u>_____________________________________</u>. Presentational styles have been subject to a tension between an informational-educational purpose and the need to engage us entertainingly. While current affairs programmes are often ‘serious’ in tone sticking to the ‘rules’ of balance, more popular programmes adopt a friendly, lighter, idiom in which we are invited to consider the impact of particular news items from the perspective of the ‘average person in the street’. Indeed, contemporary news construction has come to rely on an increased use of faster editing tempos and ‘flashier’ presentational styles including the use of logos, sound-bites, rapid visual cuts and the ‘star quality’ of news readers. <mark>Popular formats</mark> can be said to enhance understanding by engaging an audience unwilling to endure the longer verbal orientation of older news formats. However, they arguably work to reduce understanding by failing to provide the structural contexts for news events.",대중적인 뉴스 형식은 오래된 뉴스 형식의 장황한 언어적 표현 대신 관객의 참여와 이해를 촉진하는 방법을 사용한다,대중적인 뉴스 형식은 낡은 뉴스 구성 방식과 조화를 이루어 관객의 참여와 이해를 촉진하는 방법을 사용한다,,,,,,
